"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the animated sequences are [[well]] done and perfectly constructed to convey a sense of childhood imagination and creating adventure out of angst","the animated sequences are [[too]] done and perfectly constructed to convey a sense of childhood imagination and creating adventure out of angst",0.021511554718017578,0.9739507436752319,1,0,1,35,"Successful"
"a [[great]] companion piece to other napoleon films","a [[gargantuan]] companion piece to other napoleon films",0.024932026863098145,0.9622035622596741,1,0,1,56,"Successful"
"spellbinding [[fun]] and [[deliciously]] [[exploitative]]","spellbinding [[kidding]] and [[neatly]] [[unethical]]",0.019925355911254883,0.974084734916687,1,0,1,93,"Successful"
"in its treatment of the dehumanizing and [[ego]] destroying process of unemployment [[time]] out [[offers]] an [[exploration]] that is more accurate than anything i have [[seen]] in an american film","in its treatment of the dehumanizing and [[subjectivity]] destroying process of unemployment [[calendars]] out [[submitting]] an [[scrutinize]] that is more accurate than anything i have [[believed]] in an american film",0.028028786182403564,0.6417163610458374,1,0,1,205,"Successful"
"it s usually a bad sign when directors abandon their scripts and go where the moment takes them but olympia wash based filmmakers anne de marcken and marilyn freeman did just that and it s what makes their project so [[interesting]]","it s usually a bad sign when directors abandon their scripts and go where the moment takes them but olympia wash based filmmakers anne de marcken and marilyn freeman did just that and it s what makes their project so [[odd]]",0.04862910509109497,0.8262877464294434,1,0,1,61,"Successful"
"this [[rich]] [[bittersweet]] israeli documentary about the life of song and dance man pasachke burstein and his family transcends [[ethnic]] [[lines]]","this [[wealthiest]] [[maudlin]] israeli documentary about the life of song and dance man pasachke burstein and his family transcends [[ethic]] [[routing]]",0.02017158269882202,0.6159769296646118,1,0,1,90,"Successful"
"you ll get the enjoyable basic minimum but not a [[whit]] more","you ll get the enjoyable basic minimum but not a [[theres]] more",0.4800270199775696,0.8646907806396484,1,0,1,56,"Successful"
"the picture [[runs]] a mere 84 minutes but it s no [[glance]] it s a head turner thoughtfully written [[beautifully]] read and finally deeply humanizing","the picture [[implement]] a mere 84 minutes but it s no [[look]] it s a head turner thoughtfully written [[appallingly]] read and finally deeply humanizing",0.030538618564605713,0.592530369758606,1,0,1,128,"Successful"
"puts a [[refreshing]] and comical spin on the all too [[familiar]] [[saga]] of the [[contemporary]] [[single]] [[woman]]","puts a [[improvements]] and comical spin on the all too [[acquaint]] [[manas]] of the [[updated]] [[exclusive]] [[married]]",0.019961893558502197,0.5785881280899048,1,0,1,137,"Successful"
"disney has always been hit or miss when bringing beloved kids books to the screen tuck [[everlasting]] is a little of both","disney has always been hit or miss when bringing beloved kids books to the screen tuck [[eternal]] is a little of both",0.30076855421066284,0.5546032190322876,1,0,1,51,"Successful"
"features fincher s characteristically [[startling]] visual [[style]] and an almost [[palpable]] sense of intensity","features fincher s characteristically [[baffling]] visual [[styling]] and an almost [[gross]] sense of intensity",0.02562415599822998,0.889474630355835,1,0,1,103,"Successful"
"light years several warp speeds levels and levels of dilithium crystals [[better]] than the pitiful insurrection which is nt to say that it s the equal of some of its predecessors","light years several warp speeds levels and levels of dilithium crystals [[best]] than the pitiful insurrection which is nt to say that it s the equal of some of its predecessors",0.44310426712036133,0.5108802318572998,1,0,1,29,"Successful"
"[[witty]] [[contemplative]] and sublimely [[beautiful]]","[[sarcastic]] [[cloistered]] and sublimely [[leggy]]",0.021030664443969727,0.572511613368988,1,0,1,97,"Successful"
"the [[talents]] of the [[actors]] [[helps]] `` moonlight mile `` [[rise]] above its heart on its sleeve writing","the [[jurisdiction]] of the [[stockholders]] [[attend]] `` moonlight mile `` [[escalating]] above its heart on its sleeve writing",0.022611916065216064,0.5838290452957153,1,0,1,181,"Successful"
"an otherwise intense twist and turn thriller that certainly should nt hurt talented young gaghan s resume","an otherwise intense twist and turn thriller that certainly should nt hurt talented young gaghan s resume",0.542737603187561,0.542737603187561,0,0,1,1,"Skipped"
"[[unlike]] the nauseating fictions peddled by such have yourself a happy little holocaust movies as life is beautiful and jakob the liar the grey zone is [[honest]] enough to deny the possibility of hope in auschwitz","[[although]] the nauseating fictions peddled by such have yourself a happy little holocaust movies as life is beautiful and jakob the liar the grey zone is [[truthfully]] enough to deny the possibility of hope in auschwitz",0.12952351570129395,0.6671112179756165,1,0,1,41,"Successful"
"the sweetest thing a romantic [[comedy]] with outrageous tendencies may be a mess in a [[lot]] of ways but it does have one [[saving]] [[grace]] a lot of its gags and observations reflect a woman s point of view","the sweetest thing a romantic [[parody]] with outrageous tendencies may be a mess in a [[lots]] of ways but it does have one [[ransoms]] [[clemency]] a lot of its gags and observations reflect a woman s point of view",0.05151265859603882,0.5629763007164001,1,0,1,90,"Successful"
"the tone errs on the shrill side tempered by a soft southern gentility that speaks of beauty grace and a closet full of skeletons","the tone errs on the shrill side tempered by a soft southern gentility that speaks of beauty grace and a closet full of skeletons",0.6356502175331116,0.6356502175331116,0,0,1,1,"Skipped"
"schaeffer is nt in this film which may be why it works as well as it does","schaeffer is nt in this film which may be why it works as well as it does",0.7880080938339233,0.7880080938339233,0,0,1,1,"Skipped"
"executed with such gentle but [[insistent]] [[sincerity]] with such [[good]] [[humor]] and [[appreciation]] of the [[daily]] [[grind]] that only the most hardhearted scrooge could fail to respond","executed with such gentle but [[remorseless]] [[modesty]] with such [[better]] [[mockery]] and [[gracias]] of the [[routine]] [[ream]] that only the most hardhearted scrooge could fail to respond",0.024640440940856934,0.6099579334259033,1,0,1,243,"Successful"
"a stylish but [[steady]] and ultimately very [[satisfying]] piece of character [[driven]] [[storytelling]]","a stylish but [[ceaseless]] and ultimately very [[positives]] piece of character [[caused]] [[narrator]]",0.017444491386413574,0.8720217943191528,1,0,1,128,"Successful"
"there s none of the happily ever after spangle of monsoon wedding in late [[marriage]] and that s [[part]] of what makes dover kosashvili s outstanding feature debut so potent","there s none of the happily ever after spangle of monsoon wedding in late [[remarried]] and that s [[portion]] of what makes dover kosashvili s outstanding feature debut so potent",0.07522827386856079,0.6894577145576477,1,0,1,86,"Successful"
"mr tsai is a very original artist in his medium and what time is it there should be seen at the very least for its spasms of absurdist [[humor]]","mr tsai is a very original artist in his medium and what time is it there should be seen at the very least for its spasms of absurdist [[lighthearted]]",0.2251458764076233,0.5810918807983398,1,0,1,32,"Successful"
"hollywood ending is not show stoppingly hilarious but scathingly witty [[nonetheless]]","hollywood ending is not show stoppingly hilarious but scathingly witty [[conversely]]",0.03259307146072388,0.5120276212692261,1,0,1,26,"Successful"
"because the genre is well established what makes the movie fresh is [[smart]] writing skewed characters and the title performance by kieran culkin","because the genre is well established what makes the movie fresh is [[wise]] writing skewed characters and the title performance by kieran culkin",0.08324450254440308,0.6411861777305603,1,0,1,50,"Successful"
"proof once again that if the filmmakers just follow the books they ca nt go wrong better effects better acting and a hilarious kenneth branagh an [[excellent]] sequel","proof once again that if the filmmakers just follow the books they ca nt go wrong better effects better acting and a hilarious kenneth branagh an [[unpaid]] sequel",0.03491085767745972,0.707953929901123,1,0,1,54,"Successful"
"the film s sense of imagery [[gives]] it a terrible strength but it s [[propelled]] by the acting","the film s sense of imagery [[provides]] it a terrible strength but it s [[steered]] by the acting",0.1022944450378418,0.6465972661972046,1,0,1,99,"Successful"
"a [[masterful]] [[film]] from a master [[filmmaker]] [[unique]] in its deceptive grimness [[compelling]] in its fatalist [[worldview]]","a [[prose]] [[scorsese]] from a master [[headmistress]] [[sole]] in its deceptive grimness [[undoubted]] in its fatalist [[ideologies]]",0.017992079257965088,0.8773159980773926,1,0,1,137,"Successful"
"in its own floundering way it gets to you just like igby","in its own floundering way it gets to you just like igby",0.8500580787658691,0.8500580787658691,0,0,1,1,"Skipped"
"[[imperfect]] yes but also [[intriguing]] and [[honorable]] a [[worthwhile]] [[addition]] to a distinguished [[film]] legacy","[[amiss]] yes but also [[excite]] and [[creditable]] a [[salubrious]] [[otherwise]] to a distinguished [[cinematographer]] legacy",0.016616523265838623,0.621989369392395,1,0,1,162,"Successful"
"for anyone who remembers the 60s or is interested in one man s response to stroke ram dass [[fierce]] [[grace]] is worth [[seeking]] out","for anyone who remembers the 60s or is interested in one man s response to stroke ram dass [[cruel]] [[clemence]] is worth [[attempt]] out",0.022015094757080078,0.5926229357719421,1,0,1,93,"Successful"
"a delirious [[celebration]] of the female orgasm","a delirious [[fest]] of the female orgasm",0.09548068046569824,0.897450864315033,1,0,1,55,"Successful"
"in the end the film is less the cheap thriller you d expect than it is a fairly [[revealing]] study of its two main characters — damaged goods people whose orbits will inevitably and dangerously collide","in the end the film is less the cheap thriller you d expect than it is a fairly [[divulged]] study of its two main characters — damaged goods people whose orbits will inevitably and dangerously collide",0.27216625213623047,0.8693358302116394,1,0,1,49,"Successful"
"baby faced renner is eerily [[convincing]] as this bland blank of a man with unimaginable demons within","baby faced renner is eerily [[convince]] as this bland blank of a man with unimaginable demons within",0.1868693232536316,0.6551216840744019,1,0,1,18,"Successful"
"smith [[profiles]] five [[extraordinary]] american [[homes]] and because the owners seem fully aware of the [[uses]] and [[abuses]] of fame it s a [[pleasure]] to enjoy their [[eccentricities]]","smith [[profiler]] five [[prodigious]] american [[fireplaces]] and because the owners seem fully aware of the [[recourse]] and [[mistreated]] of fame it s a [[mirth]] to enjoy their [[stupidities]]",0.021938085556030273,0.5613157749176025,1,0,1,276,"Successful"
"call it magic [[realism]] or [[surrealism]] but miss wonton [[floats]] beyond [[reality]] with a certain degree of [[wit]] and dignity","call it magic [[pragmatist]] or [[postmodern]] but miss wonton [[flotation]] beyond [[hardheaded]] with a certain degree of [[waite]] and dignity",0.026799023151397705,0.5654689073562622,1,0,1,87,"Successful"
