"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the animated sequences are well done and [[perfectly]] constructed to convey a sense of childhood imagination and creating [[adventure]] out of angst","the animated sequences are well done and [[dead]] constructed to convey a sense of childhood imagination and creating [[jeopardize]] out of angst",0.021511554718017578,0.9353092312812805,1,0,1,125,"Successful"
"a [[great]] companion piece to other napoleon films","a [[slap-up]] companion piece to other napoleon films",0.024932026863098145,0.8475305438041687,1,0,1,83,"Successful"
"[[spellbinding]] fun and [[deliciously]] exploitative","[[spellbind]] fun and [[scrumptiously]] exploitative",0.019925355911254883,0.9470955729484558,1,0,1,43,"Successful"
"in its [[treatment]] of the dehumanizing and [[ego]] [[destroying]] [[process]] of unemployment [[time]] out [[offers]] an exploration that is more accurate than anything i have [[seen]] in an [[american]] [[film]]","in its [[intervention]] of the dehumanizing and [[self]] [[demolish]] [[operation]] of unemployment [[clock]] out [[propose]] an exploration that is more accurate than anything i have [[check]] in an [[American]] [[celluloid]]",0.028028786182403564,0.34748345613479614,1,1,1,207,"Failed"
"it s usually a bad sign when directors abandon their scripts and go where the moment takes them but olympia wash based filmmakers anne de marcken and marilyn freeman did just that and it s what makes their project so [[interesting]]","it s usually a bad sign when directors abandon their scripts and go where the moment takes them but olympia wash based filmmakers anne de marcken and marilyn freeman did just that and it s what makes their project so [[worry]]",0.04862910509109497,0.6665967702865601,1,0,1,302,"Successful"
"this [[rich]] bittersweet israeli documentary about the life of song and dance man pasachke burstein and his family [[transcends]] ethnic [[lines]]","this [[fat]] bittersweet israeli documentary about the life of song and dance man pasachke burstein and his family [[overstep]] ethnic [[course]]",0.02017158269882202,0.7707363963127136,1,0,1,183,"Successful"
"you ll get the enjoyable basic minimum but not a [[whit]] more","you ll get the enjoyable basic minimum but not a [[smidgin]] more",0.4800270199775696,0.6730544567108154,1,0,1,88,"Successful"
"the picture [[runs]] a mere 84 minutes but it s no [[glance]] it s a [[head]] turner thoughtfully [[written]] beautifully [[read]] and [[finally]] [[deeply]] humanizing","the picture [[escape]] a mere 84 minutes but it s no [[glint]] it s a [[drumhead]] turner thoughtfully [[indite]] beautifully [[scan]] and [[last]] [[deep]] humanizing",0.030538618564605713,0.6885333061218262,1,0,1,315,"Successful"
"[[puts]] a [[refreshing]] and [[comical]] spin on the all too familiar saga of the contemporary single woman","[[redact]] a [[review]] and [[laughable]] spin on the all too familiar saga of the contemporary single woman",0.019961893558502197,0.9703928232192993,1,0,1,103,"Successful"
"disney has always been hit or miss when bringing beloved kids books to the screen tuck [[everlasting]] is a little of both","disney has always been hit or miss when bringing beloved kids books to the screen tuck [[gross]] is a little of both",0.30076855421066284,0.9223031997680664,1,0,1,179,"Successful"
