"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"the animated [[sequences]] are [[well]] done and [[perfectly]] constructed to convey a sense of childhood imagination and [[creating]] [[adventure]] out of angst","the animated [[sequence]] are [[wеll]] done and [[altogether]] constructed to convey a sense of childhood imagination and [[establishment]] [[adventuⲅe]] out of angst",0.021511554718017578,0.7576537132263184,1,0,1,93,"Successful"
"a [[great]] companion piece to other napoleon [[films]]","a [[ɡreat]] companion piece to other napoleon [[film]]",0.024932026863098145,0.7264166474342346,1,0,1,27,"Successful"
"spellbinding fun and [[deliciously]] exploitative","spellbinding fun and [[ԁeliciously]] exploitative",0.019925355911254883,0.8434743881225586,1,0,1,23,"Successful"
"in its [[treatment]] of the dehumanizing and [[ego]] destroying process of [[unemployment]] time out offers an [[exploration]] that is more accurate than anything i have seen in an american film","in its [[treatmeոt]] of the dehumanizing and [[e]] [[go]] destroying process of [[unemployed]] time out offers an [[explora𝚝ion]] that is more accurate than anything i have seen in an american film",0.028028786182403564,0.10904961824417114,1,1,1,55,"Failed"
"it s usually a bad sign when directors abandon their scripts and go where the moment takes them but olympia wash based filmmakers anne de marcken and marilyn freeman did just that and it s what makes their project so [[interesting]]","it s usually a bad sign when directors abandon their scripts and go where the moment takes them but olympia wash based filmmakers anne de marcken and marilyn freeman did just that and it s what makes their project so [[іnteresting]]",0.04862910509109497,0.6436715126037598,1,0,1,41,"Successful"
"this [[rich]] [[bittersweet]] israeli documentary about the life of song and dance man pasachke burstein and his family transcends [[ethnic]] [[lines]]","this [[riϲh]] [[Ьittersweet]] israeli documentary about the life of song and dance man pasachke burstein and his family transcends [[ethniϲ]] [[linеs]]",0.02017158269882202,0.5452730655670166,1,0,1,73,"Successful"
"you ll get the enjoyable basic minimum but not a [[whit]] more","you ll get the enjoyable basic minimum but not a [[wih]] more",0.4800270199775696,0.6760454177856445,1,0,1,18,"Successful"
"the picture runs a mere 84 minutes but it s no glance it s a head turner thoughtfully written beautifully read and finally [[deeply]] [[humanizing]]","the picture runs a mere 84 minutes but it s no glance it s a head turner thoughtfully written beautifully read and finally [[deеply]] [[humaniᴢing]]",0.030538618564605713,0.507696270942688,1,0,1,43,"Successful"
"puts a [[refreshing]] and comical spin on the all too familiar saga of the [[contemporary]] single [[woman]]","puts a [[refreѕhing]] and comical spin on the all too familiar saga of the [[contemporarу]] single [[female]]",0.019961893558502197,0.1919403076171875,1,1,1,54,"Failed"
"disney has always been hit or miss when bringing beloved kids books to the screen tuck [[everlasting]] is a little of both","disney has always been hit or miss when bringing beloved kids books to the screen tuck [[eternal]] is a little of both",0.30076855421066284,0.5546022057533264,1,0,1,32,"Successful"
"features fincher s characteristically [[startling]] [[visual]] [[style]] and an almost [[palpable]] sense of intensity","features fincher s characteristically [[startlinɡ]] [[visually]] [[stуle]] and an almost [[palpabⅼe]] sense of intensity",0.02562415599822998,0.5745700597763062,1,0,1,69,"Successful"
"light years several warp speeds levels and levels of dilithium crystals [[better]] than the pitiful insurrection which is nt to say that it s the equal of some of its predecessors","light years several warp speeds levels and levels of dilithium crystals [[beter]] than the pitiful insurrection which is nt to say that it s the equal of some of its predecessors",0.44310426712036133,0.8519029021263123,1,0,1,31,"Successful"
"witty [[contemplative]] and [[sublimely]] beautiful","witty [[contemplatiѵe]] and [[subⅼimely]] beautiful",0.021030664443969727,0.03923392295837402,1,1,1,30,"Failed"
"the talents of the [[actors]] [[helps]] `` moonlight mile `` [[rise]] above its heart on its sleeve [[writing]]","the talents of the [[actorѕ]] [[helpѕ]] `` moonlight mile `` [[risе]] above its heart on its sleeve [[writiոg]]",0.022611916065216064,0.2203267216682434,1,1,1,69,"Failed"
"an otherwise intense twist and turn thriller that certainly should nt hurt talented young gaghan s resume","an otherwise intense twist and turn thriller that certainly should nt hurt talented young gaghan s resume",0.542737603187561,0.542737603187561,0,0,1,1,"Skipped"
"[[unlike]] the nauseating fictions peddled by such have yourself a happy little holocaust movies as life is beautiful and jakob the liar the grey zone is honest enough to deny the possibility of hope in auschwitz","[[unⅼike]] the nauseating fictions peddled by such have yourself a happy little holocaust movies as life is beautiful and jakob the liar the grey zone is honest enough to deny the possibility of hope in auschwitz",0.12952351570129395,0.551026463508606,1,0,1,35,"Successful"
"the sweetest thing a romantic [[comedy]] with outrageous tendencies may be a mess in a lot of ways but it does have one [[saving]] [[grace]] a lot of its gags and observations reflect a woman s point of view","the sweetest thing a romantic [[charade]] with outrageous tendencies may be a mess in a lot of ways but it does have one [[rescues]] [[graϲe]] a lot of its gags and observations reflect a woman s point of view",0.05151265859603882,0.5053216218948364,1,0,1,62,"Successful"
"the tone errs on the shrill side tempered by a soft southern gentility that speaks of beauty grace and a closet full of skeletons","the tone errs on the shrill side tempered by a soft southern gentility that speaks of beauty grace and a closet full of skeletons",0.6356502175331116,0.6356502175331116,0,0,1,1,"Skipped"
"schaeffer is nt in this film which may be why it works as well as it does","schaeffer is nt in this film which may be why it works as well as it does",0.7880080938339233,0.7880080938339233,0,0,1,1,"Skipped"
"executed with such gentle but insistent [[sincerity]] with such [[good]] [[humor]] and [[appreciation]] of the daily [[grind]] that only the most [[hardhearted]] scrooge could fail to respond","executed with such gentle but insistent [[candor]] with such [[goоd]] [[hսmor]] and [[gratitude]] of the daily [[milling]] that only the most [[haⲅdhearted]] scrooge could fail to respond",0.024640440940856934,0.11412924528121948,1,1,1,74,"Failed"
"a stylish but steady and ultimately very [[satisfying]] piece of character driven [[storytelling]]","a stylish but steady and ultimately very [[satіsfying]] piece of character driven [[ѕtorytelling]]",0.017444491386413574,0.5302596092224121,1,0,1,39,"Successful"
"there s none of the happily ever after spangle of monsoon wedding in late [[marriage]] and that s [[part]] of what makes dover kosashvili s outstanding feature debut so potent","there s none of the happily ever after spangle of monsoon wedding in late [[marⲅiage]] and that s [[portion]] of what makes dover kosashvili s outstanding feature debut so potent",0.07522827386856079,0.6718045473098755,1,0,1,45,"Successful"
"mr tsai is a very original artist in his medium and what time is it there should be seen at the very least for its spasms of absurdist [[humor]]","mr tsai is a very original artist in his medium and what time is it there should be seen at the very least for its spasms of absurdist [[humr]]",0.2251458764076233,0.8272860646247864,1,0,1,25,"Successful"
"hollywood ending is not show stoppingly hilarious but scathingly witty [[nonetheless]]","hollywood ending is not show stoppingly hilarious but scathingly witty [[nonethеless]]",0.03259307146072388,0.7418947815895081,1,0,1,28,"Successful"
"because the genre is well established what makes the movie fresh is [[smart]] writing skewed characters and the title performance by kieran culkin","because the genre is well established what makes the movie fresh is [[smrt]] writing skewed characters and the title performance by kieran culkin",0.08324450254440308,0.884118914604187,1,0,1,28,"Successful"
